Größe,Stil,Anzahl der Packungen,ASIN,Durchschnittliche Kundenbewertung,Amazon Bestseller-Rang,Im Angebot von Amazon.de seit,Marke,Filter-Klasse,Größe,Wiederverwendbarkeit,Stil,title
‎Einheitsgröße,‎Modern,‎10,B08L5QRS6N,"4,4 von 5 Sternen        11 Sternebewertungen          4,4 von 5 Sternen","Nr. 284,144 in Baumarkt",13. Oktober 2020,KINGFA,FFP2,Einheitsgröße,Wiederverwendbar,Modern,"Gesichtsmasken,KN95 / FFP2-Maske,5-Lagen-Atemschutzmaske, Maske für Erwachsene (10)"
